	texto	texto_modificado
1479	"-mas oportunidades laborales para la clase media y vulnerable"""	mas oportunidad laboral clase medio vulnerable
1480	"715	que no que por ser pobres se nos discrimine, al momento de tener opciones para nuestra vivienda"	pobre discriminar  momento opción vivienda
1481	"716	""nos gustaria mejorar la salud publica y que no sea un negocio del gobierno."	gustar mejorar salud publica negocio gobierno
1482	"dignidad para la ciudadanía."""	dignidad ciudadanía
1483	"717	""-medicamentos accesibles"	medicamento accesible
1484	-mas y mejores especialistas	mas mejor especialista
1485	-administración del cesfam	administración cesfam
1486	-mas vocación profesional	mas vocación profesional
1487	-mayor (-) fiscalizacion -	mayor    fiscalizacion
1488	-etica desde enseñanza media	etica enseñanza medio
1489	"-profesion"""	profesión
1490	"718	por la desigualdad de las clases sociales ya que por pertenecer a la clase media no hay oportunidades"	desigualdad clase social pertenecer clase medio oportunidad
1491	"719	el aumento del gas, luz y agua no me dejan llegar a veces a fin de mes"	aumento gas  luz agua dejar llegar vez fin mes
1492	"720	""-educación equitativa"	educación equitativo
1493	-gratuito desde preescolar a universitaria	gratuito preescolar universitario
1494	-eliminación cae	eliminación caer
1495	-calidad entrega de contenidos entre otros	calidad entrega contenido
1496	-con enfoque de género	con enfoque género
1497	"-educación integral (conocimiento, habilidad, destreza)"""	educación integral  conocimiento  habilidad  destreza
1498	"721	que sean mas las viviendas para gente de pocos recursos y de buena calidad, que se aprueben más rapido"	vivienda gente recurso buen calidad  aprobar rapido
1499	"722	la clase media se encuentra desprotegida cada vez que acude particularmente al médico o a una clínica ya que debe muchas veces cancelar por la atención montos inclusive millonarios solo por una atención de urgencia."	clase medio encontrar desprotegida cada vez acudir particularmente médico clínica vez cancelar atención monto inclusive millonario sólo atención urgencia
1500	"723	la salud pública sea de la misma calidad que salud privada, con tiempos de espera reducidos, que el personal sea más humano, que cuente con insumos para la atención de cada patología."	salud público mismo calidad salud privado  tiempo espera reducido  personal humano  contar insumo atención cada patología
1501	"724	ya que últimamente se han entregado casas con espacios muy reducidos para la familia chilena, como también han habido casos en donde no traen lo necesario para ser una vivienda digna y de calidad."	últimamente entregar casa espacio reducido familia chileno  caso traer necesario vivienda digno calidad
1502	"725	""salud: mejor cobertura hospitalaria, más especialistas, más insumos, mejor atención, modernizar el sistema de salud."	salud  mejor cobertura hospitalario  especialista  insumo  mejor atención  modernizar sistema salud
1503	educación: terminar con la municipalización, mejorar la calidad.	educación  terminar municipalización  mejorar calidad
1504	restaurar hrs. de historia, mejores condiciones de trabajo a docentes.	restaurar hrs  historia  mejor condición trabajo docente
1505	"trabajo: mejor salario, igualdad de genero, """	trabajo  mejor salario  igualdad genero
1506	"726	sueldos dignos que nos permitan vidas dignas, que garantice el sustento a nuestras familias sin ser explotado."	sueldo digno permitir vida digno  garantizar sustento familia explotar
1507	"727	existe desigualdad en la educación, principalmente en los centros educacionales municipales y privados, hoy en día la educación es un negocio, por los créditos cae y f. solidarios."	existir desigualdad educación  principalmente centro educacional municipal privado  hoy día educación negocio  crédito caer f solidario
1508	"728	""-credito con aval del estado"	credito aval estado
1509	-mejorar calidad de educacion	mejorar calidad educación
1510	-mejorar calidad de insfraestructura de colegios publicos	mejorar calidad insfraestructura colegio público
1511	-mejorar sueldos para profesores	mejorar sueldo profesor
1512	"-mejorar acceso"""	mejorar acceso
1513	"729	necesitamos mejor seguridad. en las calles, en lo laboral. esto afecta también en nuestro hogar. tenemos mucho miedo que entren a nuestro hogar."	necesitar mejor seguridad  calle  laboral  afectar hogar  miedo entrar hogar
1514	"730	que siendo chile un pais tan rico no pueda producir sus propios bienes y no exportarlos."	chile país rico producir propio bien exportar
1515	"731	""mejorar la salud pública."	mejorar salud público
1516	listas de espera.	lista espera
1517	regular precios medicamentos.	regular precio medicamento
1518	"mejorar atención de salud por funcionarios. """	mejorar atención salud funcionario
1519	"732	para lograr un acceso para las mismas oportunidades y no lucrar con todo tipo de establecimiento educacionales. ambiente tranquilo y seguro."	lograr acceso mismo oportunidad lucrar tipo establecimiento educacional  ambiente tranquilo seguro
1520	"733	que todos recibamos una pensión para poder vivir de manera digna que cubra todos los gastos; recibir un sueldo digno en todos los trabajos."	recibir pensión vivir manera digno cubrir gasto  recibir sueldo digno trabajo
1521	"734	el tener una educacion de calidad y gratuita para todos es prioridad desde los basico hasta lo profesional y no restar ramos."	educación calidad gratuito prioridad basico profesional restar ramo
1522	"735	porque sin educación, no somos nada, es nuestra base de aprendizaje, donde todos deberíamos tener acceso a ella y de calidad."	educación   base aprendizaje  acceso calidad
1523	"736	""por que lo sueldos actuales no alcanzan para vivir"	sueldo actual alcanzar vivir
1524	"no es equitativo respecto al genero y a los cargos públicos o popular"""	equitativo respecto genero cargo público popular
1525	"737	"". falta de administración."	falta administración
1526	. falta de ente regulador.	falta ente regulador
1527	. falta de consciencia en la salud de las personas.	falta consciencia salud persona
1528	". inversión"""	inversión
1529	"738	creen que la información no siempre es mas clara, por lo que creen que es un canal importante las redes sociales, verificar la veracidad de las cosas."	creer información siempre claro  creer canal importante red social  verificar veracidad cosa
1530	"739	""que existan trabajos estables y bien pagados."	existir trabajo estable bien pagado
1531	que los ciudadanos puedan cubrir necesidades basicas.	ciudadano cubrir necesidad basico
1532	"que exista mas equidad y no tanta diferencia en los sueldos."""	existir equidad diferencia sueldo
1533	"740	cambio constitucional que reforma el rol del estado(pasar de un estado subdiario a uno de derechos"	cambio constitucional reformar rol estado pasar estado subdiario derecho
1534	"741	""por que los cambios que necesitamos no se pueden realizar"	cambio necesitar realizar
1535	con la constitucion actual ya que no lo permite	constitución actual permitir
1536	"este cambio debe ser creado o confeccionado por quienes hacemos parte del pais"""	cambio crear confeccionado parte país
1537	"742	""la lista de espera, remedios especialistas en regiones."	lista espera  remedio especialista región
1538	mala tec. en regiones	malo tec  región
1539	"malos profesionales, poco profesionalismo"""	malo profesional  profesionalismo
1540	"743	debiera ser un hábito del estado realizar consultas con  reriodicidad para que la gente se sienta escuchada y considerados"	hábito estado realizar consulta reriodicidad gente sentar escuchar considerado
1541	"744	l a educación no sea un                , que no genera las            , accesibles a las personas."	l educación  generar  accesible persona
1542	"745	""• Calidad de salud"	• calidad salud
1543	• Mejoria en las previsiones	• mejoria previsión
1544	• Aumento del sueldo mínimo	• aumento sueldo mínimo
1545	"• Mayor oferta de empleo"""	• mayor oferta empleo
1546	"746	""calidad de la salud."	calidad salud
1547	mejorar tiempo de espera.	mejorar tiempo espera
1548	desigualdad acceso a salud.	desigualdad acceso salud
1549	"regulación de los medicamentos."""	regulación medicamento
1550	"747	""falta de especialista"	falta especialista
1551	mas profecionales de salud	profecional salud
1552	sistema mas digno	sistema digno
1553	demora en examen (servicios)	demora examen  servicio
1554	"mas empatia de los profecionales"""	empatia profecional
1555	"748	que las pensiones se aumenten y se baje la edad vivir que se considere de 80-100 y ese es mucho"	pensión aumentar bajar edad vivir considerar
1556	"749	""salud de calidad para todos."	salud calidad
1557	no deberían existir diferencias entre la saluda pública y la privada.	existir diferencia saludar público privado
1558	"el costo de las isapres"""	costo isapre
1559	"750	volver el sistema antiguo. se puede mantener el sistema de afp pero ponen un tope a las ganancias de las administradoras."	volver sistema antiguo  mantener sistema afp poner tope ganancia administradora
1560	"751	es una educación precaria o producto mercado y no crean personas reflexivas con análisis. mejor acceso"	educación precario producto mercado crear persona reflexivo análisis  mejor acceso
1561	"752	""lista de esperas"	lista espera
1562	atención y categorización .	atención categorización
1563	trato del doctor a paciente.	trato doctor paciente
1564	sanción a malos profesionales.	sanción malo profesional
1565	mejorar equipamiento.	mejorar equipamiento
1566	"falta de especialistas ."""	falta especialista
1567	"753	""mejorar las pensiones para los adultos mayores."	mejorar pensión adulto mayor
1568	los sueldos minimos porque una familia de 4 o 5 integrantes no alcansa un sueldo minimo.	sueldo minimo familia   integrante alcansar sueldo mínimo
1569	"trabajo para la mujer. """	trabajo mujer
1570	"754	""un sistema eficaz, rápido, de calidad con mas patologías para el auge. mayor inversión del estado."	sistema eficaz  rápido  calidad patología auge  mayor inversión estado
1571	"dignas que le permitan vivir a nuestros ancianos."""	digno permitir vivir anciano
